ticket_text,category,priority
"Hello, Where can I read your blog? Please help.",General Inquiry,Low
Help! Do you offer discounts for non-profit organizations? Please help.,General Inquiry,Medium
"Hello, Do you ship internationally?",Shipping,Low
"Hello, Can I get a demo of the enterprise features? ASAP.",General Inquiry,Medium
Urgent: Can I change the shipping address for my current order? Waiting for your reply.,Shipping,Medium
"Hi support, Just checking the status of my refund request. Waiting for your reply.",Refund,Low
"Hello, Can I change my username? ASAP.",Account,Low
Where can I read your blog? ASAP.,General Inquiry,Low
The entire system is down! None of my team can log in. This is critical! Thanks.,Technical Issue,High
"Hi support, Your system is violating GDPR and I need an urgent explanation. Please help.",General Inquiry,High
"Hello, My account has been hacked! Someone changed my password and email. Lock it immediately! Thanks.",Account,High
Help! One of the features is not working as described in the manual. ASAP.,Product Issue,Medium
Help! Your system is violating GDPR and I need an urgent explanation. Thanks.,General Inquiry,High
Urgent: The search function is not returning any results. Thanks.,Technical Issue,Medium
Urgent: The software is corrupting my files. I need a patch immediately. Thanks.,Product Issue,High
Do you have a mobile app? Thanks.,General Inquiry,Low
How do I add a new credit card to my account? Thanks.,Payment,Medium
"Hi support, How do I change my email address associated with this account? Please help.",Account,Medium
Help! What is your refund policy? Thanks.,Refund,Low
"Help! I returned the item last week, when will the refund hit my account? ASAP.",Refund,Medium
Help! How do I update my profile picture?,Account,Low
"Hello, Is there a way to get a copy of my old invoices? Waiting for your reply.",Billing,Low
The color of the product I received doesn't match the website. Waiting for your reply.,Product Issue,Medium
"Hello, I can't export my reports to PDF. It just hangs. Waiting for your reply.",Technical Issue,Medium
"Hello, Your system is violating GDPR and I need an urgent explanation. Thanks.",General Inquiry,High
"Hello, My account was suspended without any notice. I need access restored now.",Account,High
Urgent: Is there a way to get a copy of my old invoices? Please help.,Billing,Low
Help! My payment failed but the money was deducted from my bank! Fix this now! Please help.,Payment,High
"Hello, My payment is pending. How long does it usually take to clear? Please help.",Payment,Medium
"Hello, Can I change the shipping address for my current order?",Shipping,Medium
"Hi support, My package was marked as delivered but I never received it! I need this resolved immediately. Please help.",Shipping,High
"Hi support, My order is 2 weeks late and I need the items for an event tomorrow. Thanks.",Shipping,High
"Hello, The search function is not returning any results. Waiting for your reply.",Technical Issue,Medium
The dashboard is loading very slowly today. ASAP.,Technical Issue,Medium
Urgent: My account was suspended without any notice. I need access restored now. ASAP.,Account,High
"Hi support, Is there a way to customize the color of the app interface? Please help.",Product Issue,Low
I want to delete my account. Please guide me through the process. Waiting for your reply.,Account,Medium
"Hello, The entire system is down! None of my team can log in. This is critical! Thanks.",Technical Issue,High
Urgent: My card is being declined even though it has sufficient funds. I need to buy this now. ASAP.,Payment,High
Help! Is there a dark mode available for the app? Thanks.,Technical Issue,Low
My payment failed but the money was deducted from my bank! Fix this now! Waiting for your reply.,Payment,High
The application crashes immediately upon opening. I cannot work at all. Waiting for your reply.,Technical Issue,High
Help! Your system is violating GDPR and I need an urgent explanation. ASAP.,General Inquiry,High
"Hi support, My account has been hacked! Someone changed my password and email. Lock it immediately! Thanks.",Account,High
Urgent: One of the features is not working as described in the manual. Waiting for your reply.,Product Issue,Medium
Urgent: Just wondering when the next billing cycle starts.,Billing,Low
Urgent: What currencies do you support for payments? Thanks.,Payment,Low
"Hi support, How do I update my profile picture? ASAP.",Account,Low
My payment failed but the money was deducted from my bank! Fix this now! Waiting for your reply.,Payment,High
Urgent: Your system is violating GDPR and I need an urgent explanation.,General Inquiry,High
"Help! The packaging was a bit dented, but the product is fine. ASAP.",Product Issue,Low
"Hi support, Do you offer discounts for non-profit organizations? Thanks.",General Inquiry,Medium
I am a press member and need an immediate statement on the recent outage. Waiting for your reply.,General Inquiry,High
Urgent: When can I expect my refund to be processed? Thanks.,Refund,Medium
Help! Do you accept cryptocurrency? Waiting for your reply.,Payment,Low
Help! Do you have a mobile app? ASAP.,General Inquiry,Low
"Hi support, My billing address needs to be updated for the next cycle.",Billing,Medium
Urgent: I cancelled my subscription within the 30-day window but was still charged. Refund now! Waiting for your reply.,Refund,High
"Hi support, The color of the product I received doesn't match the website. ASAP.",Product Issue,Medium
"Hello, What courier do you use for standard shipping? Waiting for your reply.",Shipping,Low
"Hello, How do I update my profile picture? ASAP.",Account,Low
"Hi support, What currencies do you support for payments? Waiting for your reply.",Payment,Low
Urgent: I want to delete my account. Please guide me through the process. Please help.,Account,Medium
Urgent: The application crashes immediately upon opening. I cannot work at all. Thanks.,Technical Issue,High
"Hello, I'm getting a 500 Internal Server Error every time I try to save my work. I'm losing data! Thanks.",Technical Issue,High
Urgent: The shipping address was wrong and it's going to the wrong state. Stop the shipment!,Shipping,High
Help! My payment failed but the money was deducted from my bank! Fix this now!,Payment,High
"Hello, What currencies do you support for payments? ASAP.",Payment,Low
Urgent: The product caught fire! This is a massive safety hazard. I need a replacement and an investigation! Waiting for your reply.,Product Issue,High
"Hi support, My credit card was charged but the service is not active. I need a refund right now. Waiting for your reply.",Billing,High
Urgent: The instructions were a bit hard to understand. Please help.,Product Issue,Low
"Hello, I am a press member and need an immediate statement on the recent outage. ASAP.",General Inquiry,High
The product caught fire! This is a massive safety hazard. I need a replacement and an investigation! Thanks.,Product Issue,High
"Hi support, Can I change the shipping address for my current order?",Shipping,Medium
The battery life on this device is much shorter than advertised.,Product Issue,Medium
The battery life on this device is much shorter than advertised. ASAP.,Product Issue,Medium
The search function is not returning any results. ASAP.,Technical Issue,Medium
"Hi support, I'm getting a 500 Internal Server Error every time I try to save my work. I'm losing data! Thanks.",Technical Issue,High
Help! The color of the product I received doesn't match the website. Please help.,Product Issue,Medium
"Hi support, Do you have a mobile app? Thanks.",General Inquiry,Low
Help! Where can I find my account ID? Waiting for your reply.,Account,Low
Urgent: I cannot log in at all. I've tried resetting my password 5 times and it's not working. Thanks.,Account,High
Help! What is your refund policy? ASAP.,Refund,Low
Help! There is an unauthorized charge on my bill. I need this resolved ASAP. Waiting for your reply.,Billing,High
Help! What currencies do you support for payments? Thanks.,Payment,Low
Do you accept cryptocurrency? Waiting for your reply.,Payment,Low
Urgent: I'm getting a 500 Internal Server Error every time I try to save my work. I'm losing data!,Technical Issue,High
"Hi support, What is your refund policy?",Refund,Low
"Hi support, How do I update my profile picture? ASAP.",Account,Low
"Hi support, Is there a fee for using a specific payment method? Thanks.",Payment,Low
"Hi support, The color of the product I received doesn't match the website. ASAP.",Product Issue,Medium
Urgent: The device stopped working completely after one day. It's totally defective.,Product Issue,High
My credit card was charged but the service is not active. I need a refund right now. Waiting for your reply.,Billing,High
"Hello, How do I change my payment method for future bills? Please help.",Billing,Low
Help! What currencies do you support for payments?,Payment,Low
"Hello, My account was suspended without any notice. I need access restored now. ASAP.",Account,High
"Hi support, What currencies do you support for payments? Please help.",Payment,Low
Help! Where can I find my account ID? ASAP.,Account,Low
"Hello, I need to speak to a manager immediately regarding a legal matter. ASAP.",General Inquiry,High
"Hello, How do I change my payment method for future bills? Please help.",Billing,Low
"Hello, My credit card was charged but the service is not active. I need a refund right now. ASAP.",Billing,High
Urgent: Can I change the shipping address for my current order? Thanks.,Shipping,Medium
The product caught fire! This is a massive safety hazard. I need a replacement and an investigation! Thanks.,Product Issue,High
Help! What is your refund policy?,Refund,Low
"Hello, My credit card was charged but the service is not active. I need a refund right now. Please help.",Billing,High
Is there a way to get a copy of my old invoices? ASAP.,Billing,Low
My package was marked as delivered but I never received it! I need this resolved immediately. Thanks.,Shipping,High
"Hello, I cannot log in at all. I've tried resetting my password 5 times and it's not working. Please help.",Account,High
Urgent: Is there a way to customize the color of the app interface?,Product Issue,Low
"Hello, How do I become an affiliate partner? Please help.",General Inquiry,Medium
Help! Minor UI glitch on the profile page. Waiting for your reply.,Technical Issue,Low
"Help! The packaging was a bit dented, but the product is fine.",Product Issue,Low
Help! The color of the product I received doesn't match the website.,Product Issue,Medium
"Hi support, The application crashes immediately upon opening. I cannot work at all. Please help.",Technical Issue,High
Urgent: Do you offer refunds for digital products?,Refund,Low
"Hello, How do I become an affiliate partner? Please help.",General Inquiry,Medium
Urgent: My credit card was charged but the service is not active. I need a refund right now. Please help.,Billing,High
"Hi support, The product caught fire! This is a massive safety hazard. I need a replacement and an investigation! Thanks.",Product Issue,High
Help! My billing address needs to be updated for the next cycle. Please help.,Billing,Medium
"Hello, I returned the item last week, when will the refund hit my account?",Refund,Medium
What are your office hours? Please help.,General Inquiry,Low
"Help! The packaging was a bit dented, but the product is fine. Waiting for your reply.",Product Issue,Low
Help! How do I update my profile picture? Please help.,Account,Low
Help! There is an unauthorized charge on my bill. I need this resolved ASAP. Please help.,Billing,High
"Hello, How do I update my profile picture? Please help.",Account,Low
The battery life on this device is much shorter than advertised.,Product Issue,Medium
"Hi support, Minor UI glitch on the profile page. Please help.",Technical Issue,Low
"Hi support, How much is the expedited shipping fee? Thanks.",Shipping,Medium
Help! I'm getting a 500 Internal Server Error every time I try to save my work. I'm losing data! Please help.,Technical Issue,High
"Hello, My account was suspended without any notice. I need access restored now. Please help.",Account,High
"Hi support, Just checking the status of my refund request.",Refund,Low
I want to delete my account. Please guide me through the process.,Account,Medium
Help! How do I add a new credit card to my account? Thanks.,Payment,Medium
"Hello, I have a question about my latest invoice. Can someone explain the charges? ASAP.",Billing,Medium
"Hello, Where can I read your blog? Thanks.",General Inquiry,Low
Help! Just wondering when the next billing cycle starts. ASAP.,Billing,Low
"Hi support, How much is the expedited shipping fee? Waiting for your reply.",Shipping,Medium
"Hi support, What currencies do you support for payments? Please help.",Payment,Low
"Hello, The application crashes immediately upon opening. I cannot work at all. Please help.",Technical Issue,High
"Hello, Do you have a mobile app? ASAP.",General Inquiry,Low
"Hello, How do I change my email address associated with this account? Please help.",Account,Medium
I need to speak to a manager immediately regarding a legal matter. Thanks.,General Inquiry,High
Is there a way to customize the color of the app interface? Thanks.,Product Issue,Low
"Hello, Do you offer discounts for non-profit organizations? Thanks.",General Inquiry,Medium
"Hello, Just checking the status of my refund request.",Refund,Low
Help! The search function is not returning any results. Thanks.,Technical Issue,Medium
"Hi support, How much is the expedited shipping fee? Thanks.",Shipping,Medium
My order is 2 weeks late and I need the items for an event tomorrow. Please help.,Shipping,High
How do I update my profile picture? Waiting for your reply.,Account,Low
Urgent: How do I add a new credit card to my account?,Payment,Medium
Urgent: My credit card was charged but the service is not active. I need a refund right now. Thanks.,Billing,High
"Hi support, The entire system is down! None of my team can log in. This is critical! Thanks.",Technical Issue,High
"Hello, I am a press member and need an immediate statement on the recent outage. ASAP.",General Inquiry,High
Help! My order is 2 weeks late and I need the items for an event tomorrow. Thanks.,Shipping,High
"Hi support, The battery life on this device is much shorter than advertised.",Product Issue,Medium
Urgent: Do you offer refunds for digital products? Thanks.,Refund,Low
I need to merge two duplicate accounts. Thanks.,Account,Medium
"Hi support, Where can I read your blog? Please help.",General Inquiry,Low
Urgent: How do I become an affiliate partner?,General Inquiry,Medium
"Hi support, How do I change my payment method for future bills? ASAP.",Billing,Low
Urgent: I cannot complete the checkout process. The payment gateway is timing out.,Payment,High
Help! Is there a dark mode available for the app? Waiting for your reply.,Technical Issue,Low
Help! My account was suspended without any notice. I need access restored now. Please help.,Account,High
Help! Do you offer discounts for non-profit organizations? ASAP.,General Inquiry,Medium
Help! I have a question about my latest invoice. Can someone explain the charges? Waiting for your reply.,Billing,Medium
Urgent: I cannot log in at all. I've tried resetting my password 5 times and it's not working.,Account,High
How much is the expedited shipping fee? Waiting for your reply.,Shipping,Medium
"Hello, The color of the product I received doesn't match the website. Please help.",Product Issue,Medium
Help! My account was suspended without any notice. I need access restored now. Please help.,Account,High
"Hi support, My billing address needs to be updated for the next cycle.",Billing,Medium
Urgent: How much is the expedited shipping fee? Thanks.,Shipping,Medium
"Hello, Where can I read your blog? Please help.",General Inquiry,Low
The battery life on this device is much shorter than advertised. ASAP.,Product Issue,Medium
Help! I was promised a refund 3 weeks ago and still haven't received it. This is unacceptable!,Refund,High
Help! When can I expect my refund to be processed? Thanks.,Refund,Medium
"Hello, I have a question about my latest invoice. Can someone explain the charges? Waiting for your reply.",Billing,Medium
Urgent: My card is being declined even though it has sufficient funds. I need to buy this now. ASAP.,Payment,High
Can I change my username? Please help.,Account,Low
Help! My package was marked as delivered but I never received it! I need this resolved immediately. Please help.,Shipping,High
Do you offer refunds for digital products? Please help.,Refund,Low
Help! I have a question about my latest invoice. Can someone explain the charges?,Billing,Medium
Help! Do you offer discounts for non-profit organizations? ASAP.,General Inquiry,Medium
"Hi support, I want to delete my account. Please guide me through the process.",Account,Medium
"Hello, My package was marked as delivered but I never received it! I need this resolved immediately. Waiting for your reply.",Shipping,High
Help! The instructions were a bit hard to understand. Thanks.,Product Issue,Low
"Hello, The device stopped working completely after one day. It's totally defective. Waiting for your reply.",Product Issue,High
Help! How do I change my payment method for future bills? ASAP.,Billing,Low
Help! Do you accept cryptocurrency? ASAP.,Payment,Low
One of the features is not working as described in the manual. Thanks.,Product Issue,Medium
Help! How do I update my profile picture?,Account,Low
"Hi support, I need to merge two duplicate accounts.",Account,Medium
"Hello, How do I change my payment method for future bills?",Billing,Low
"Hello, I am a press member and need an immediate statement on the recent outage. ASAP.",General Inquiry,High
Urgent: My order is 2 weeks late and I need the items for an event tomorrow. Please help.,Shipping,High
"Hi support, Is there a way to get a copy of my old invoices? Thanks.",Billing,Low
"Hello, My card is being declined even though it has sufficient funds. I need to buy this now.",Payment,High
Just wondering when the next billing cycle starts.,Billing,Low
"Hello, The search function is not returning any results. Thanks.",Technical Issue,Medium
"Hi support, The product was completely broken and I need my money back immediately. Thanks.",Refund,High
"Hi support, I was charged twice for my subscription and my account is now overdrawn. Please fix this immediately!",Billing,High
Urgent: I was promised a refund 3 weeks ago and still haven't received it. This is unacceptable! ASAP.,Refund,High
"Hello, The color of the product I received doesn't match the website.",Product Issue,Medium
Help! My payment is pending. How long does it usually take to clear? Thanks.,Payment,Medium
"Hello, Is there a way to customize the color of the app interface? Thanks.",Product Issue,Low
My account was suspended without any notice. I need access restored now. Thanks.,Account,High
"Hello, My credit card was charged but the service is not active. I need a refund right now.",Billing,High
I was promised a refund 3 weeks ago and still haven't received it. This is unacceptable! Please help.,Refund,High
Urgent: My payment is pending. How long does it usually take to clear? Please help.,Payment,Medium
"The packaging was a bit dented, but the product is fine. Please help.",Product Issue,Low
Help! Can I change my username? Please help.,Account,Low
"Hi support, My billing address needs to be updated for the next cycle.",Billing,Medium
Urgent: How do I add a new credit card to my account? Waiting for your reply.,Payment,Medium
"Hi support, I am a press member and need an immediate statement on the recent outage.",General Inquiry,High
My credit card was charged but the service is not active. I need a refund right now. Please help.,Billing,High
Help! Is there a way to customize the color of the app interface?,Product Issue,Low
Urgent: My order is 2 weeks late and I need the items for an event tomorrow. Waiting for your reply.,Shipping,High
"Hello, The color of the product I received doesn't match the website. ASAP.",Product Issue,Medium
Help! The font on the settings page looks a bit weird. Thanks.,Technical Issue,Low
"Hi support, The packaging was a bit dented, but the product is fine. Please help.",Product Issue,Low
"Hello, What are your office hours? Please help.",General Inquiry,Low
How do I become an affiliate partner? Please help.,General Inquiry,Medium
"Hi support, I was promised a refund 3 weeks ago and still haven't received it. This is unacceptable!",Refund,High
"Hi support, My package was marked as delivered but I never received it! I need this resolved immediately. Thanks.",Shipping,High
Help! Is there a way to get a copy of my old invoices?,Billing,Low
"Hello, I'm getting a 500 Internal Server Error every time I try to save my work. I'm losing data!",Technical Issue,High
"Hi support, Just wondering when the next billing cycle starts. ASAP.",Billing,Low
"Hello, Where can I read your blog? Waiting for your reply.",General Inquiry,Low
"Hi support, The software is corrupting my files. I need a patch immediately. Waiting for your reply.",Product Issue,High
"Hi support, I need to merge two duplicate accounts.",Account,Medium
"Hi support, I cannot complete the checkout process. The payment gateway is timing out.",Payment,High
"Hello, I didn't receive my invoice for this month. Waiting for your reply.",Billing,Medium
Urgent: Is there a way to get a copy of my old invoices?,Billing,Low
"Urgent: The packaging was a bit dented, but the product is fine. ASAP.",Product Issue,Low
When can I expect my refund to be processed? Waiting for your reply.,Refund,Medium
Urgent: The software is corrupting my files. I need a patch immediately.,Product Issue,High
"Hi support, I want to delete my account. Please guide me through the process. Thanks.",Account,Medium
"Hello, How much is the expedited shipping fee?",Shipping,Medium
"Hi support, The entire system is down! None of my team can log in. This is critical!",Technical Issue,High
"Hello, The color of the product I received doesn't match the website. ASAP.",Product Issue,Medium
Help! My package was marked as delivered but I never received it! I need this resolved immediately.,Shipping,High
"Hello, Do you ship internationally?",Shipping,Low
"Hello, The color of the product I received doesn't match the website. Thanks.",Product Issue,Medium
Urgent: How do I become an affiliate partner? ASAP.,General Inquiry,Medium
Help! My account was suspended without any notice. I need access restored now. ASAP.,Account,High
"Hello, When will my order be shipped? Waiting for your reply.",Shipping,Low
The dashboard is loading very slowly today. Waiting for your reply.,Technical Issue,Medium
Urgent: The instructions were a bit hard to understand. Waiting for your reply.,Product Issue,Low
Help! Can I pay via PayPal instead of credit card?,Payment,Medium
Help! Can I change the shipping address for my current order? ASAP.,Shipping,Medium
Urgent: I'm getting a 500 Internal Server Error every time I try to save my work. I'm losing data! Please help.,Technical Issue,High
Just wondering when the next billing cycle starts. Thanks.,Billing,Low
"Hi support, My account has been hacked! Someone changed my password and email. Lock it immediately! ASAP.",Account,High
Where can I find my account ID? Waiting for your reply.,Account,Low
The dashboard is loading very slowly today. Thanks.,Technical Issue,Medium
"Hi support, My tracking number hasn't updated in 3 days. Waiting for your reply.",Shipping,Medium
"Hello, How do I become an affiliate partner? ASAP.",General Inquiry,Medium
"Hello, Where can I find my account ID? Please help.",Account,Low
"Hi support, I need to speak to a manager immediately regarding a legal matter. Please help.",General Inquiry,High
Help! Is there a way to get a copy of my old invoices?,Billing,Low
Urgent: How do I change my payment method for future bills?,Billing,Low
Urgent: The search function is not returning any results. Please help.,Technical Issue,Medium
"Hello, The packaging was a bit dented, but the product is fine. Waiting for your reply.",Product Issue,Low
Urgent: What currencies do you support for payments? ASAP.,Payment,Low
Help! I need to merge two duplicate accounts.,Account,Medium
"Hello, The product caught fire! This is a massive safety hazard. I need a replacement and an investigation! Waiting for your reply.",Product Issue,High
"Hi support, How do I update my profile picture? Waiting for your reply.",Account,Low
"Hi support, My payment is pending. How long does it usually take to clear? Waiting for your reply.",Payment,Medium
Help! Do you have a mobile app?,General Inquiry,Low
"Hi support, What is your refund policy? ASAP.",Refund,Low
"Hi support, I would like to request a partial refund for the damaged item. Waiting for your reply.",Refund,Medium
Urgent: My credit card was charged but the service is not active. I need a refund right now. ASAP.,Billing,High
How do I become an affiliate partner? Waiting for your reply.,General Inquiry,Medium
How do I change my payment method for future bills?,Billing,Low
"Hi support, The shipping address was wrong and it's going to the wrong state. Stop the shipment!",Shipping,High
Urgent: When will my order be shipped?,Shipping,Low
Urgent: I need to merge two duplicate accounts. Thanks.,Account,Medium
Help! I cannot log in at all. I've tried resetting my password 5 times and it's not working. Waiting for your reply.,Account,High
Help! I cannot complete the checkout process. The payment gateway is timing out. ASAP.,Payment,High
Help! My tracking number hasn't updated in 3 days.,Shipping,Medium
"Hi support, When can I expect my refund to be processed? Waiting for your reply.",Refund,Medium
Urgent: I need to speak to a manager immediately regarding a legal matter. ASAP.,General Inquiry,High
Urgent: Is there a way to customize the color of the app interface? Thanks.,Product Issue,Low
How do I add a new credit card to my account? ASAP.,Payment,Medium
What courier do you use for standard shipping? ASAP.,Shipping,Low
The font on the settings page looks a bit weird.,Technical Issue,Low
"Hi support, I cannot complete the checkout process. The payment gateway is timing out. Please help.",Payment,High
Help! The device stopped working completely after one day. It's totally defective. ASAP.,Product Issue,High
Help! Is there a way to get a copy of my old invoices? ASAP.,Billing,Low
I cannot log in at all. I've tried resetting my password 5 times and it's not working. Please help.,Account,High
The product caught fire! This is a massive safety hazard. I need a replacement and an investigation! Please help.,Product Issue,High
Urgent: I need to merge two duplicate accounts. Please help.,Account,Medium
The device stopped working completely after one day. It's totally defective. Please help.,Product Issue,High
The shipping address was wrong and it's going to the wrong state. Stop the shipment! ASAP.,Shipping,High
"Hello, Just wondering when the next billing cycle starts. Waiting for your reply.",Billing,Low
Urgent: I cannot log in at all. I've tried resetting my password 5 times and it's not working. Waiting for your reply.,Account,High
"Hello, I cancelled my subscription within the 30-day window but was still charged. Refund now! Please help.",Refund,High
"Hello, My billing address needs to be updated for the next cycle. Please help.",Billing,Medium
Help! Minor UI glitch on the profile page. Thanks.,Technical Issue,Low
Help! Do you offer refunds for digital products? Thanks.,Refund,Low
Help! The shipping address was wrong and it's going to the wrong state. Stop the shipment! Waiting for your reply.,Shipping,High
"Hi support, I need to speak to a manager immediately regarding a legal matter. Waiting for your reply.",General Inquiry,High
Help! My account was suspended without any notice. I need access restored now. Waiting for your reply.,Account,High
Help! The color of the product I received doesn't match the website. Thanks.,Product Issue,Medium
I cannot complete the checkout process. The payment gateway is timing out. Please help.,Payment,High
I cancelled my subscription within the 30-day window but was still charged. Refund now! ASAP.,Refund,High
Help! Do you ship internationally?,Shipping,Low
Help! My payment is pending. How long does it usually take to clear?,Payment,Medium
My account was suspended without any notice. I need access restored now. Waiting for your reply.,Account,High
"Hi support, Can I change my username? Thanks.",Account,Low
Help! Can I pay via PayPal instead of credit card? ASAP.,Payment,Medium
"Hello, The color of the product I received doesn't match the website.",Product Issue,Medium
"Hi support, Where can I read your blog? ASAP.",General Inquiry,Low
"Hi support, The shipping address was wrong and it's going to the wrong state. Stop the shipment! Thanks.",Shipping,High
"Hi support, Do you offer refunds for digital products? ASAP.",Refund,Low
My credit card was charged but the service is not active. I need a refund right now. Please help.,Billing,High
Urgent: Where can I find my account ID? ASAP.,Account,Low
Help! My credit card was charged but the service is not active. I need a refund right now.,Billing,High
Can I pay via PayPal instead of credit card? Waiting for your reply.,Payment,Medium
Help! How do I change my email address associated with this account? Please help.,Account,Medium
My card is being declined even though it has sufficient funds. I need to buy this now. Thanks.,Payment,High
My credit card was charged but the service is not active. I need a refund right now. ASAP.,Billing,High
Help! How do I add a new credit card to my account? Please help.,Payment,Medium
Do you offer refunds for digital products? Waiting for your reply.,Refund,Low
My billing address needs to be updated for the next cycle.,Billing,Medium
What courier do you use for standard shipping? ASAP.,Shipping,Low
Urgent: How much is the expedited shipping fee? Thanks.,Shipping,Medium
Help! The battery life on this device is much shorter than advertised.,Product Issue,Medium
Help! I was charged twice for my subscription and my account is now overdrawn. Please fix this immediately! Please help.,Billing,High
"Hello, The font on the settings page looks a bit weird. Please help.",Technical Issue,Low
"Hello, Do you ship internationally? Thanks.",Shipping,Low
Urgent: The dashboard is loading very slowly today. ASAP.,Technical Issue,Medium
The application crashes immediately upon opening. I cannot work at all. ASAP.,Technical Issue,High
Urgent: Where can I read your blog? ASAP.,General Inquiry,Low
"Help! I returned the item last week, when will the refund hit my account? Waiting for your reply.",Refund,Medium
Urgent: I didn't receive my invoice for this month. Thanks.,Billing,Medium
"Hi support, When can I expect my refund to be processed?",Refund,Medium
Help! The application crashes immediately upon opening. I cannot work at all. Please help.,Technical Issue,High
My account has been hacked! Someone changed my password and email. Lock it immediately! Waiting for your reply.,Account,High
"Hi support, I need to speak to a manager immediately regarding a legal matter. ASAP.",General Inquiry,High
"Hello, Is there a dark mode available for the app? Thanks.",Technical Issue,Low
"Hello, When can I expect my refund to be processed? Please help.",Refund,Medium
Help! What is your refund policy? Thanks.,Refund,Low
Help! The entire system is down! None of my team can log in. This is critical! Please help.,Technical Issue,High
The color of the product I received doesn't match the website. Please help.,Product Issue,Medium
The shipping address was wrong and it's going to the wrong state. Stop the shipment!,Shipping,High
"Hi support, I was charged twice for my subscription and my account is now overdrawn. Please fix this immediately! ASAP.",Billing,High
Help! I was charged twice for my subscription and my account is now overdrawn. Please fix this immediately! Thanks.,Billing,High
Urgent: I cannot complete the checkout process. The payment gateway is timing out. Waiting for your reply.,Payment,High
"Hello, How do I become an affiliate partner? Waiting for your reply.",General Inquiry,Medium
"Hello, I was charged twice for my subscription and my account is now overdrawn. Please fix this immediately! Please help.",Billing,High
Urgent: I have a question about my latest invoice. Can someone explain the charges?,Billing,Medium
Help! Can I change my username? Waiting for your reply.,Account,Low
Urgent: Can I get a demo of the enterprise features? ASAP.,General Inquiry,Medium
"Hi support, I cancelled my subscription within the 30-day window but was still charged. Refund now! Please help.",Refund,High
Help! The font on the settings page looks a bit weird. Please help.,Technical Issue,Low
"Hi support, Where can I find my account ID? Thanks.",Account,Low
Urgent: The application crashes immediately upon opening. I cannot work at all. ASAP.,Technical Issue,High
"Hi support, One of the features is not working as described in the manual. Please help.",Product Issue,Medium
Can I pay via PayPal instead of credit card? Please help.,Payment,Medium
Help! My account has been hacked! Someone changed my password and email. Lock it immediately! Waiting for your reply.,Account,High
"Hello, What is your refund policy?",Refund,Low
Help! My account has been hacked! Someone changed my password and email. Lock it immediately!,Account,High
"Hi support, Your system is violating GDPR and I need an urgent explanation. Please help.",General Inquiry,High
"Hi support, What currencies do you support for payments?",Payment,Low
"Hi support, My account has been hacked! Someone changed my password and email. Lock it immediately! Waiting for your reply.",Account,High
Urgent: I didn't receive my invoice for this month. Thanks.,Billing,Medium
Help! Do you accept cryptocurrency?,Payment,Low
"Hello, The battery life on this device is much shorter than advertised.",Product Issue,Medium
"Hi support, The color of the product I received doesn't match the website. Please help.",Product Issue,Medium
I was promised a refund 3 weeks ago and still haven't received it. This is unacceptable! ASAP.,Refund,High
Urgent: Do you accept cryptocurrency? Please help.,Payment,Low
Do you have a mobile app? Please help.,General Inquiry,Low
"Hello, I returned the item last week, when will the refund hit my account?",Refund,Medium
Help! I have a question about my latest invoice. Can someone explain the charges? Please help.,Billing,Medium
Help! How do I update my profile picture?,Account,Low
"Hello, What is your refund policy? Thanks.",Refund,Low
Can I change the shipping address for my current order? Please help.,Shipping,Medium
"Hello, The application crashes immediately upon opening. I cannot work at all. ASAP.",Technical Issue,High
Help! Minor UI glitch on the profile page. ASAP.,Technical Issue,Low
Can I pay via PayPal instead of credit card? ASAP.,Payment,Medium
"Hi support, Your system is violating GDPR and I need an urgent explanation. Thanks.",General Inquiry,High
Urgent: The application crashes immediately upon opening. I cannot work at all. ASAP.,Technical Issue,High
"Hello, What is your refund policy?",Refund,Low
Urgent: The product caught fire! This is a massive safety hazard. I need a replacement and an investigation! Waiting for your reply.,Product Issue,High
Where can I find my account ID? Please help.,Account,Low
The search function is not returning any results. ASAP.,Technical Issue,Medium
Is there a way to get a copy of my old invoices?,Billing,Low
Help! How do I update my profile picture?,Account,Low
"Hello, Do you accept cryptocurrency? Please help.",Payment,Low
Help! I cannot log in at all. I've tried resetting my password 5 times and it's not working. ASAP.,Account,High
Is there a dark mode available for the app? Waiting for your reply.,Technical Issue,Low
Help! The product caught fire! This is a massive safety hazard. I need a replacement and an investigation!,Product Issue,High
Urgent: There is an unauthorized charge on my bill. I need this resolved ASAP.,Billing,High
"Hi support, Can I pay via PayPal instead of credit card? ASAP.",Payment,Medium
"Hello, How do I add a new credit card to my account? Thanks.",Payment,Medium
"Hi support, I need to merge two duplicate accounts. Thanks.",Account,Medium
Help! Can I change the shipping address for my current order? Thanks.,Shipping,Medium
Help! The dashboard is loading very slowly today. Thanks.,Technical Issue,Medium
"Hi support, My credit card was charged but the service is not active. I need a refund right now. Please help.",Billing,High
"Hi support, Can I get a demo of the enterprise features? Thanks.",General Inquiry,Medium
"Hi support, There is an unauthorized charge on my bill. I need this resolved ASAP.",Billing,High
"Hello, The entire system is down! None of my team can log in. This is critical! ASAP.",Technical Issue,High
Help! Do you have a mobile app? ASAP.,General Inquiry,Low
Help! The application crashes immediately upon opening. I cannot work at all. Please help.,Technical Issue,High
Urgent: What courier do you use for standard shipping? Thanks.,Shipping,Low
"Hi support, The shipping address was wrong and it's going to the wrong state. Stop the shipment! Thanks.",Shipping,High
"Hi support, Where can I find my account ID? Waiting for your reply.",Account,Low
